arm,n_train,n_distinct_records,repeat,threshold,test_fp,test_pct_mean
S1_resample,10,8,4,0.5446277206141158,0.041666666666666664,0.6166666666666667
S1_resample,10,6,5,0.5316386767151311,0.75,0.8958333333333334
S1_resample,10,8,6,0.6097090936614912,0.041666666666666664,0.7916666666666666
S1_resample,10,8,7,0.6102879696410526,0.0,0.7125
S1_resample,10,7,8,0.5298233381756461,0.3333333333333333,0.8250000000000001
S1_resample,10,7,9,0.584050817694308,0.0,0.6958333333333333
S1_resample,10,9,10,0.6197239868969942,0.0,0.7208333333333333
S1_resample,10,7,11,0.6181848762224382,0.041666666666666664,0.8541666666666666
S1_resample,10,7,12,0.6222503813610496,0.0,0.7458333333333332
S1_resample,10,7,13,0.5084286476236378,0.8333333333333334,0.9
S1_resample,10,8,14,0.5875219569960255,0.0,0.8125
S1_resample,10,9,15,0.5841172301997615,0.0,0.6208333333333333
S1_resample,10,8,16,0.6236771730093361,0.0,0.7208333333333333
S1_resample,10,7,17,0.5903758830742621,0.0,0.6416666666666666
S1_resample,10,8,18,0.6351358624039456,0.0,0.7166666666666668
S1_resample,10,7,19,0.5990952293071181,0.0,0.7041666666666667
S1_resample,10,7,20,0.61354283811691,0.0,0.7333333333333334
S1_resample,10,5,21,0.5184787497750282,0.8333333333333334,0.9250000000000002
S1_resample,10,9,22,0.5218807084893311,0.7916666666666666,0.9041666666666668
S1_resample,10,8,23,0.5989784491558715,0.0,0.7416666666666667
S1_resample,10,7,24,0.5378548577034947,0.5,0.7833333333333333
S1_resample,10,9,25,0.6120327313107111,0.041666666666666664,0.8166666666666668
S1_resample,10,8,26,0.5827782317561001,0.041666666666666664,0.7958333333333334
S1_resample,10,7,27,0.6317591227436034,0.041666666666666664,0.8375
S1_resample,10,8,28,0.5345023675404267,0.375,0.8708333333333332
S1_resample,10,9,29,0.6143379056254777,0.041666666666666664,0.8041666666666667
S1_resample,10,8,30,0.6188022881290374,0.041666666666666664,0.7958333333333334
S1_resample,10,9,31,0.5989413785698028,0.041666666666666664,0.8291666666666667
S1_resample,10,9,32,0.6156978497987163,0.0,0.725
S1_resample,10,9,33,0.571212630434873,0.0,0.6875
S1_resample,10,7,34,0.5497830374671361,0.5,0.9083333333333333
S1_resample,10,8,35,0.602992165225297,0.041666666666666664,0.8166666666666668
S1_resample,10,8,36,0.5740921799613443,0.041666666666666664,0.8375
S1_resample,10,7,37,0.6145567262168893,0.041666666666666664,0.7833333333333332
S1_resample,10,9,38,0.6148607209131116,0.0,0.725
S1_resample,10,9,39,0.5828793072634922,0.041666666666666664,0.6375000000000001
S1_resample,10,8,40,0.586943398006844,0.0,0.6625
S1_resample,10,7,41,0.5155974281556769,0.8333333333333334,0.8874999999999998
S1_resample,10,8,42,0.5954690902402754,0.0,0.7374999999999999
S1_resample,10,8,43,0.5632495428224291,0.08333333333333333,0.8250000000000001
S1_resample,10,8,44,0.5385382151103,0.3333333333333333,0.8416666666666668
S1_resample,10,10,45,0.6013900032123317,0.041666666666666664,0.8041666666666667
S1_resample,10,8,46,0.5833400749081469,0.0,0.6458333333333334
S1_resample,10,8,47,0.5945149415183434,0.041666666666666664,0.8083333333333335
S1_resample,10,8,48,0.6236771730093361,0.0,0.7166666666666668
S1_resample,10,10,49,0.6016423573431589,0.041666666666666664,0.8041666666666667
S1_resample,10,9,50,0.6144572959366453,0.0,0.7375000000000002
S1_resample,10,7,51,0.5941658325002983,0.08333333333333333,0.8166666666666668
S1_resample,10,9,52,0.5999881536200927,0.0,0.6208333333333332
S1_resample,10,7,53,0.5922509173109811,0.041666666666666664,0.8458333333333333
S1_resample,10,8,54,0.5266763741289902,0.8333333333333334,0.9458333333333334
S1_resample,10,8,55,0.6026669427980808,0.041666666666666664,0.7958333333333334
S1_resample,10,8,56,0.6233092804223038,0.041666666666666664,0.8333333333333334
S1_resample,10,8,57,0.626112308116495,0.041666666666666664,0.8208333333333333
S1_resample,10,8,58,0.5983891133918283,0.041666666666666664,0.8125
S1_resample,10,9,59,0.554025845343528,0.0,0.6375000000000001
S1_resample,10,8,60,0.5686661254186721,0.0,0.7291666666666666
S1_resample,10,9,61,0.6213845544874045,0.0,0.7291666666666666
S1_resample,10,6,62,0.5414756717657977,0.20833333333333334,0.8041666666666666
S1_resample,10,9,63,0.5873716611426171,0.041666666666666664,0.6291666666666667
S1_resample,10,9,64,0.547881958856509,0.041666666666666664,0.6749999999999999
S1_resample,10,7,65,0.5587878189228181,0.75,0.9416666666666668
S1_resample,10,9,66,0.6287129387659177,0.0,0.75
S1_resample,10,8,67,0.5526683052684961,0.0,0.6166666666666667
S1_resample,10,8,68,0.516965117608144,0.4583333333333333,0.8125
S1_resample,10,7,69,0.601333717473567,0.041666666666666664,0.775
S1_resample,10,9,70,0.6102616950498257,0.0,0.7208333333333333
S1_resample,10,7,71,0.5865631270796041,0.041666666666666664,0.8166666666666668
S1_resample,10,8,72,0.5507351144405538,0.375,0.8416666666666668
S1_resample,10,8,73,0.6119793721536028,0.041666666666666664,0.8208333333333334
S1_resample,10,9,74,0.6180388701694752,0.041666666666666664,0.8458333333333333
S1_resample,10,8,75,0.5108421511818281,0.625,0.8333333333333334
S1_resample,10,9,76,0.5995658790102174,0.0,0.7333333333333334
S1_resample,10,8,77,0.5461792506410951,0.3333333333333333,0.6708333333333334
S1_resample,10,8,78,0.584424707059284,0.08333333333333333,0.8291666666666666
S1_resample,10,9,79,0.5290974939966208,0.3333333333333333,0.6916666666666665
S1_resample,10,7,80,0.6298098512387018,0.0,0.7041666666666666
S1_resample,10,7,81,0.5458793678977893,0.375,0.6791666666666667
S1_resample,10,6,82,0.5998560535147773,0.0,0.5666666666666667
S1_resample,10,6,83,0.5601892500835258,0.0,0.65
S1_resample,10,7,84,0.6208536261971035,0.0,0.7416666666666667
S1_resample,10,7,85,0.5570370464880344,0.0,0.7666666666666666
S1_resample,10,9,86,0.6013900032123317,0.041666666666666664,0.7958333333333334
S1_resample,10,8,87,0.6040691616693419,0.0,0.7041666666666666
S1_resample,10,6,88,0.5305955051634872,0.375,0.8583333333333334
S1_resample,10,7,89,0.5631318682531957,0.375,0.6791666666666667
S1_resample,10,8,90,0.5534022794103787,0.3333333333333333,0.6666666666666666
S1_resample,10,7,91,0.6108295162975338,0.041666666666666664,0.8000000000000002
S1_resample,10,8,92,0.6168229268637503,0.041666666666666664,0.8041666666666667
S1_resample,10,7,93,0.5990952293071181,0.0,0.7291666666666666
S1_resample,10,9,94,0.5184522652662135,0.8333333333333334,0.9083333333333333
S1_resample,10,7,95,0.6017779968194072,0.041666666666666664,0.775
S1_resample,10,8,96,0.5737705387816181,0.0,0.6625
S1_resample,10,8,97,0.6268181174182764,0.0,0.7291666666666666
S1_resample,10,7,98,0.6025201496556664,0.041666666666666664,0.8208333333333333
S1_resample,10,7,99,0.5737705387816181,0.375,0.7458333333333332
S1_resample,10,9,100,0.6020977856999469,0.041666666666666664,0.8041666666666667
S1_resample,10,9,101,0.610063615234317,0.0,0.6791666666666667
S1_resample,10,8,102,0.608367089419972,0.0,0.7291666666666666
S1_resample,10,6,103,0.6008162566576556,0.0,0.6083333333333333
S1_resample,10,8,104,0.5903320032083547,0.0,0.6291666666666665
S1_resample,10,8,105,0.6178326822454074,0.041666666666666664,0.8375
S1_resample,10,8,106,0.6108076221366028,0.0,0.7208333333333333
