dataset,held_out,detector,n_test_windows,fp,fp_rate,threshold,seconds,auroc,recall_at_10pct_fp,precision,recall,f1
IMS 4th_test,2004.03.04.09.52.46.txt,C: One-Class SVM,7,2,0.2857142857142857,0.00034598073357376696,0.001466899997467408,,,,,
IMS 4th_test,2004.03.04.09.52.46.txt,D: Isolation Forest,7,0,0.0,0.6207090499683205,0.209350799999811,,,,,
IMS 4th_test,2004.03.04.10.02.46.txt,A: 3-sigma RMS,7,0,0.0,0.08251603121209942,0.00010390000170446001,,,,,
IMS 4th_test,2004.03.04.10.02.46.txt,B: Mahalanobis,7,0,0.0,3.169907731738312,0.00024059999850578606,,,,,
IMS 4th_test,2004.03.04.10.02.46.txt,C: One-Class SVM,7,3,0.42857142857142855,0.0003180023262691965,0.0012705000008281786,,,,,
IMS 4th_test,2004.03.04.10.02.46.txt,D: Isolation Forest,7,0,0.0,0.6161106936035698,0.20380540000041947,,,,,
IMS 4th_test,2004.03.04.10.12.46.txt,A: 3-sigma RMS,7,0,0.0,0.08251603121209942,0.00014849999934085645,,,,,
IMS 4th_test,2004.03.04.10.12.46.txt,B: Mahalanobis,7,0,0.0,3.2042786824046394,0.00028110000130254775,,,,,
IMS 4th_test,2004.03.04.10.12.46.txt,C: One-Class SVM,7,4,0.5714285714285714,0.0004576249366989334,0.0013857999983883929,,,,,
IMS 4th_test,2004.03.04.10.12.46.txt,D: Isolation Forest,7,0,0.0,0.6032334848449094,0.19865349999963655,,,,,
MFPT,baseline_1.mat,A: 3-sigma RMS,42,0,0.0,0.9006272712567478,0.00010320000001229346,1.0,1.0,1.0,0.5,0.6666666666666666
MFPT,baseline_1.mat,B: Mahalanobis,42,7,0.6363636363636364,2.924445202166708,0.0002497000023140572,1.0,1.0,0.8157894736842105,0.5,0.62
MFPT,baseline_1.mat,C: One-Class SVM,42,9,0.8181818181818182,0.0003516287818845276,0.0014300000002549496,1.0,1.0,0.775,0.5,0.607843137254902
MFPT,baseline_1.mat,D: Isolation Forest,42,0,0.0,0.6347203798842523,0.21944369999982882,1.0,1.0,1.0,0.5,0.6666666666666666
MFPT,baseline_2.mat,A: 3-sigma RMS,42,0,0.0,0.9006272712567478,0.00010349999865866266,1.0,1.0,1.0,0.5,0.6666666666666666
MFPT,baseline_2.mat,B: Mahalanobis,42,2,0.18181818181818182,2.9346259622188775,0.000261799999861978,1.0,1.0,0.9393939393939394,0.5,0.6526315789473685
MFPT,baseline_2.mat,C: One-Class SVM,42,4,0.36363636363636365,0.0003999467398365911,0.0012735000018437859,1.0,1.0,0.8857142857142857,0.5,0.6391752577319587
MFPT,baseline_2.mat,D: Isolation Forest,42,0,0.0,0.6269891870787457,0.2285928999990574,1.0,1.0,1.0,0.5,0.6666666666666666
MFPT,baseline_3.mat,A: 3-sigma RMS,42,2,0.18181818181818182,0.8950176947704443,0.0001322999996773433,1.0,1.0,0.9393939393939394,0.5,0.6526315789473685
MFPT,baseline_3.mat,B: Mahalanobis,42,9,0.8181818181818182,2.9701386303254336,0.00026760000037029386,1.0,1.0,0.775,0.5,0.607843137254902
MFPT,baseline_3.mat,C: One-Class SVM,42,9,0.8181818181818182,0.0005891574609114851,0.0012854999986302573,1.0,1.0,0.775,0.5,0.607843137254902
MFPT,baseline_3.mat,D: Isolation Forest,42,0,0.0,0.6157953723077624,0.22997989999930724,1.0,1.0,1.0,0.5,0.6666666666666666
