batch,held_out,method,hyper,fp_rate,seconds
IMS 4th_test,2004.03.04.09.27.46.txt,C: One-Class SVM (tuned),"(0.001, 0.1)",0.8571428571428571,0.2342821999991429
IMS 4th_test,2004.03.04.09.27.46.txt,D: Isolation Forest (tuned),"(100, 0.8)",0.14285714285714285,5.979769300000044
IMS 4th_test,2004.03.04.09.32.46.txt,A: 3-sigma RMS,-,0.0,0.00010829999882844277
IMS 4th_test,2004.03.04.09.32.46.txt,B: Mahalanobis,-,0.42857142857142855,0.00021270000070217066
IMS 4th_test,2004.03.04.09.32.46.txt,C: One-Class SVM (tuned),"(0.001, 0.1)",0.14285714285714285,0.2302254999995057
IMS 4th_test,2004.03.04.09.32.46.txt,D: Isolation Forest (tuned),"(100, 0.5)",0.0,6.148551700000098
IMS 4th_test,2004.03.04.09.42.46.txt,A: 3-sigma RMS,-,0.0,0.00011629999789875001
IMS 4th_test,2004.03.04.09.42.46.txt,B: Mahalanobis,-,0.0,0.0002246999974886421
IMS 4th_test,2004.03.04.09.42.46.txt,C: One-Class SVM (tuned),"(0.001, 0.1)",0.0,0.26410739999846555
IMS 4th_test,2004.03.04.09.42.46.txt,D: Isolation Forest (tuned),"(200, 0.5)",0.0,6.5846438000007765
IMS 4th_test,2004.03.04.09.52.46.txt,A: 3-sigma RMS,-,0.14285714285714285,0.00018110000019078143
IMS 4th_test,2004.03.04.09.52.46.txt,B: Mahalanobis,-,0.0,0.0002934000003733672
IMS 4th_test,2004.03.04.09.52.46.txt,C: One-Class SVM (tuned),"(0.001, 0.1)",0.2857142857142857,0.2899600000018836
IMS 4th_test,2004.03.04.09.52.46.txt,D: Isolation Forest (tuned),"(100, 0.5)",0.0,6.593940900002053
IMS 4th_test,2004.03.04.10.02.46.txt,A: 3-sigma RMS,-,0.0,0.00013299999773153104
IMS 4th_test,2004.03.04.10.02.46.txt,B: Mahalanobis,-,0.0,0.0002702999991015531
IMS 4th_test,2004.03.04.10.02.46.txt,C: One-Class SVM (tuned),"(0.001, 0.1)",0.14285714285714285,0.2761229000025196
IMS 4th_test,2004.03.04.10.02.46.txt,D: Isolation Forest (tuned),"(200, 0.5)",0.0,6.420865899999626
IMS 4th_test,2004.03.04.10.12.46.txt,A: 3-sigma RMS,-,0.0,0.00013630000103148632
IMS 4th_test,2004.03.04.10.12.46.txt,B: Mahalanobis,-,0.0,0.0002596000012999866
IMS 4th_test,2004.03.04.10.12.46.txt,C: One-Class SVM (tuned),"(0.001, 0.1)",0.14285714285714285,0.2912118000022019
IMS 4th_test,2004.03.04.10.12.46.txt,D: Isolation Forest (tuned),"(100, 0.5)",0.0,6.723287900000287
