dataset,run,window_sec,held_out,feature_group,scheme,n_train_windows,delta,condition_number,threshold,inflation_ratio,fp,n_windows,fp_rate
IMS 1st_test,1st_test,0.5,2003.10.22.12.29.13.txt,RMS + centroid (problem),cond_target,33,0.02,98.9999918709918,2.0065016564968103,0.3942621460962013,1,3,0.3333333333333333
IMS 1st_test,1st_test,0.5,2003.10.22.12.29.13.txt,crest + centroid (counterexample),empirical,33,0.0,5030.515537949711,2.5911696280831613,0.40010271114502566,1,3,0.3333333333333333
IMS 1st_test,1st_test,0.5,2003.10.22.12.29.13.txt,crest + centroid (counterexample),ledoit_wolf,33,0.0859,22.176739169034015,2.0407998982827333,0.3948893120173166,1,3,0.3333333333333333
IMS 1st_test,1st_test,0.5,2003.10.22.12.29.13.txt,crest + centroid (counterexample),cond_target,33,0.02,97.08948819289132,2.006684533540888,0.39700886554679676,1,3,0.3333333333333333
IMS 1st_test,1st_test,0.5,2003.10.22.12.34.13.txt,RMS + kurtosis (control),empirical,33,0.0,52773.82483396586,2.3589583998815757,0.38786708995749136,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.34.13.txt,RMS + kurtosis (control),ledoit_wolf,33,0.0491,39.735362042799125,1.8929728710778289,0.26734195425345864,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.34.13.txt,RMS + kurtosis (control),cond_target,33,0.02,98.81464958547656,1.8791542209281433,0.267806663663201,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.34.13.txt,RMS + centroid (problem),empirical,33,0.0,1468403882.962981,2.385639210963241,0.4803920613078194,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.34.13.txt,RMS + centroid (problem),ledoit_wolf,33,0.1087,17.400283167956648,2.322642615528027,0.3050348656207296,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.34.13.txt,RMS + centroid (problem),cond_target,33,0.02,98.99999332608729,2.270025303841246,0.3050348808107697,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.34.13.txt,crest + centroid (counterexample),empirical,33,0.0,6247.319374877918,2.6067399366243516,0.5002849014053503,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.34.13.txt,crest + centroid (counterexample),ledoit_wolf,33,0.1088,17.34261470204963,2.3232994336360147,0.3059193123845722,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.34.13.txt,crest + centroid (counterexample),cond_target,33,0.02,97.45579785366712,2.273426631868096,0.309929506854955,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.39.13.txt,RMS + kurtosis (control),empirical,33,0.0,57740.711807096195,2.3644511578776735,0.8880932803199665,1,3,0.3333333333333333
IMS 1st_test,1st_test,0.5,2003.10.22.12.39.13.txt,RMS + kurtosis (control),ledoit_wolf,33,0.0609,31.80567150790788,2.034124801191193,0.6917447946873285,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.39.13.txt,RMS + kurtosis (control),cond_target,33,0.02,98.83056623738575,2.013020614388627,0.6921286471409668,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.39.13.txt,RMS + centroid (problem),empirical,33,0.0,1766672159.7983217,2.5995236726279876,0.7761102505732695,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.39.13.txt,RMS + centroid (problem),ledoit_wolf,33,0.1127,16.738757577838992,2.4106429499711077,0.08110868343547817,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.39.13.txt,RMS + centroid (problem),cond_target,33,0.02,98.99999445284774,2.3535059709498656,0.08110889441102727,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.39.13.txt,crest + centroid (counterexample),empirical,33,0.0,5596.2486668570555,2.6679354964772903,0.35945917081191897,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.39.13.txt,crest + centroid (counterexample),ledoit_wolf,33,0.1128,16.678772482858534,2.4112378214902046,0.08109254266296217,0,3,0.0
