cfg,val_fp,val_pct_mean,test_fp,test_pct_mean,test_pct_max,test_pct_q90,n_tied_at_min,seconds,design,method,replicate,fit_files,val_files,test_files,test_windows
"(200, 0.5)",0.0,0.4528668610301263,0.0,0.6239067055393587,0.9795918367346939,0.9122448979591837,4,1.0466952000001584,A,forest,4,7,3,2,14
"(200, 0.5)",0.0,0.5500485908649173,0.07142857142857142,0.6486880466472303,1.0,0.8918367346938776,2,1.0195958000003884,A,forest,5,7,3,2,14
"(200, 0.5)",0.0,0.5578231292517006,0.07142857142857142,0.6588921282798833,1.0,0.9061224489795919,6,1.1184666999997717,A,forest,6,7,3,2,14
"(200, 0.5)",0.0,0.4936831875607386,0.0,0.6195335276967929,0.9795918367346939,0.9591836734693877,6,1.0539729000001898,A,forest,7,7,3,2,14
"(200, 0.5)",0.0,0.4742468415937803,0.0,0.6224489795918368,0.9591836734693877,0.8918367346938776,6,1.0696414000003642,A,forest,8,7,3,2,14
"(200, 0.5)",0.0,0.5830903790087463,0.0,0.6443148688046648,0.9591836734693877,0.8653061224489796,6,1.0904916999998022,A,forest,9,7,3,2,14
"(200, 1.0)",0.047619047619047616,0.6676384839650146,0.07142857142857142,0.6953352769679301,0.9795918367346939,0.9734693877551021,1,1.0835330999998405,A,forest,10,7,3,2,14
"(100, 0.5)",0.0,0.4256559766763849,0.14285714285714285,0.6180758017492712,0.9795918367346939,0.9795918367346939,1,1.0883813000000373,A,forest,11,7,3,2,14
"(200, 0.5)",0.0,0.48979591836734687,0.0,0.6501457725947521,0.9591836734693877,0.8918367346938776,6,1.10868309999978,A,forest,12,7,3,2,14
"(200, 0.5)",0.0,0.6209912536443148,0.07142857142857142,0.6938775510204082,0.9795918367346939,0.9591836734693877,6,1.1039091000002372,A,forest,13,7,3,2,14
"(200, 0.5)",0.0,0.5830903790087463,0.07142857142857142,0.6428571428571429,1.0,0.9408163265306123,5,1.0892579999999725,A,forest,14,7,3,2,14
"(200, 0.5)",0.0,0.5519922254616132,0.07142857142857142,0.653061224489796,0.9795918367346939,0.8857142857142858,2,1.1068147000000863,A,forest,15,7,3,2,14
"(200, 0.5)",0.0,0.4936831875607386,0.07142857142857142,0.6239067055393586,1.0,0.9530612244897959,6,1.0832205000001522,A,forest,16,7,3,2,14
"(200, 0.5)",0.0,0.5568513119533527,0.07142857142857142,0.6632653061224488,0.9795918367346939,0.9591836734693877,6,1.106851099999858,A,forest,17,7,3,2,14
"(200, 0.5)",0.0,0.4771622934888241,0.0,0.6574344023323615,0.9795918367346939,0.9387755102040817,5,1.0644889999998668,A,forest,18,7,3,2,14
"(200, 0.5)",0.0,0.532555879494655,0.07142857142857142,0.6457725947521865,1.0,0.9387755102040817,6,1.046836600000006,A,forest,19,7,3,2,14
"(200, 0.5)",0.0,0.47327502429543256,0.0,0.6195335276967932,0.9795918367346939,0.8857142857142858,6,1.0657905000002756,A,forest,20,7,3,2,14
"(200, 0.5)",0.0,0.5383867832847425,0.0,0.6559766763848397,0.9591836734693877,0.9265306122448981,6,1.1145479000001615,A,forest,21,7,3,2,14
"(200, 0.8)",0.0,0.5675413022351798,0.07142857142857142,0.6763848396501456,1.0,0.9326530612244899,2,1.0612651000001279,A,forest,22,7,3,2,14
"(200, 0.5)",0.0,0.511175898931001,0.0,0.6370262390670554,0.9795918367346939,0.9387755102040817,6,1.0294653999999355,A,forest,23,7,3,2,14
"(200, 0.5)",0.09523809523809523,0.5267249757045677,0.21428571428571427,0.6618075801749271,1.0,1.0,6,1.0400108000003456,A,forest,24,7,3,2,14
"(200, 0.5)",0.0,0.6647230320699709,0.0,0.6793002915451894,0.9387755102040817,0.8979591836734694,4,1.0477541000000201,A,forest,25,7,3,2,14
"(200, 0.5)",0.0,0.5092322643343051,0.0,0.6574344023323614,0.9795918367346939,0.9530612244897959,6,1.042806599999949,A,forest,26,7,3,2,14
"(200, 0.5)",0.0,0.4703595724003887,0.0,0.6209912536443147,0.9795918367346939,0.8591836734693878,6,1.044926999999916,A,forest,27,7,3,2,14
"(200, 0.5)",0.0,0.5704567541302235,0.07142857142857142,0.6516034985422741,0.9795918367346939,0.9530612244897959,6,1.0284427000001415,A,forest,28,7,3,2,14
"(200, 0.5)",0.0,0.5782312925170068,0.0,0.6545189504373179,0.9795918367346939,0.9326530612244899,6,1.0360686999997597,A,forest,29,7,3,2,14
"(200, 0.5)",0.0,0.5850340136054422,0.0,0.6647230320699707,0.9591836734693877,0.9387755102040817,3,1.032728600000155,A,forest,30,7,3,2,14
"(200, 0.5)",0.0,0.4412050534499515,0.0,0.60932944606414,0.9795918367346939,0.8979591836734694,4,1.030103500000223,A,forest,31,7,3,2,14
"(100, 1.0)",0.0,0.5247813411078717,0.07142857142857142,0.685131195335277,1.0,0.9591836734693877,1,1.070969899999909,A,forest,32,7,3,2,14
"(200, 0.5)",0.0,0.4489795918367347,0.07142857142857142,0.6268221574344023,0.9795918367346939,0.8979591836734694,6,1.0543790000001536,A,forest,33,7,3,2,14
"(200, 0.5)",0.0,0.531584062196307,0.07142857142857142,0.6209912536443148,0.9795918367346939,0.8979591836734694,6,1.0331404999997176,A,forest,34,7,3,2,14
"(200, 0.8)",0.047619047619047616,0.596695821185617,0.07142857142857142,0.6836734693877551,1.0,0.9612244897959185,2,1.0440421999996943,A,forest,35,7,3,2,14
"(200, 0.5)",0.0,0.5267249757045674,0.0,0.663265306122449,0.9795918367346939,0.9387755102040817,6,1.0240066999999726,A,forest,36,7,3,2,14
"(200, 0.5)",0.0,0.45772594752186596,0.0,0.6311953352769679,0.9591836734693877,0.8714285714285714,6,1.0178961000001436,A,forest,37,7,3,2,14
"(200, 0.5)",0.0,0.652089407191448,0.0,0.6807580174927114,0.9795918367346939,0.9326530612244899,4,1.040915000000041,A,forest,38,7,3,2,14
"(200, 0.5)",0.0,0.4266277939747326,0.0,0.6268221574344024,0.9795918367346939,0.9326530612244899,6,1.0026275999998688,A,forest,39,7,3,2,14
"(200, 0.5)",0.047619047619047616,0.4557823129251701,0.14285714285714285,0.6151603498542275,1.0,0.9877551020408164,2,1.096172900000056,A,forest,40,7,3,2,14
