n_train,n_train_actual,repeat,threshold,test_fp,test_pct_mean,variant
20,20,140,0.5871851093311259,0.14285714285714285,0.7142857142857144,V1_window
20,20,141,0.5583511621124915,0.07142857142857142,0.6142857142857142,V1_window
20,20,142,0.5853618843802404,0.07142857142857142,0.6392857142857143,V1_window
20,20,143,0.5894984484690614,0.07142857142857142,0.6,V1_window
20,20,144,0.576110505728639,0.21428571428571427,0.7178571428571429,V1_window
20,20,145,0.5765876729843117,0.07142857142857142,0.6892857142857143,V1_window
20,20,146,0.5802085742112589,0.07142857142857142,0.6428571428571429,V1_window
20,20,147,0.5725809477118382,0.0,0.5999999999999999,V1_window
20,20,148,0.5967387633321104,0.07142857142857142,0.6535714285714286,V1_window
20,20,149,0.5888076073544913,0.0,0.5821428571428571,V1_window
40,40,0,0.5999322932965255,0.07142857142857142,0.6624999999999999,V1_window
40,40,1,0.6260940142617365,0.0,0.6446428571428571,V1_window
40,40,2,0.6129924607373034,0.0,0.6553571428571429,V1_window
40,40,3,0.6213444347526409,0.0,0.6785714285714286,V1_window
40,40,4,0.6020490066307893,0.07142857142857142,0.6714285714285715,V1_window
40,40,5,0.590721723786881,0.07142857142857142,0.6607142857142858,V1_window
40,40,6,0.5801054502221441,0.14285714285714285,0.6767857142857142,V1_window
40,40,7,0.5879429028619858,0.07142857142857142,0.6357142857142858,V1_window
40,40,8,0.5882441717754189,0.0,0.6464285714285714,V1_window
40,40,9,0.5820715091998508,0.14285714285714285,0.625,V1_window
40,40,10,0.6050921731584525,0.0,0.6589285714285714,V1_window
40,40,11,0.6218435019496387,0.0,0.6732142857142858,V1_window
40,40,12,0.5777587612469787,0.07142857142857142,0.5785714285714285,V1_window
40,40,13,0.6350595131311875,0.0,0.7267857142857145,V1_window
40,40,14,0.5920833760584446,0.14285714285714285,0.6839285714285716,V1_window
40,40,15,0.6070596782843625,0.0,0.664285714285714,V1_window
40,40,16,0.5761887708637027,0.07142857142857142,0.6785714285714286,V1_window
40,40,17,0.5983950736739951,0.0,0.6839285714285713,V1_window
40,40,18,0.6044826176661126,0.21428571428571427,0.7178571428571429,V1_window
40,40,19,0.5847776128157863,0.21428571428571427,0.6464285714285715,V1_window
40,40,20,0.5844559538146658,0.07142857142857142,0.6375000000000001,V1_window
40,40,21,0.5699933789509487,0.21428571428571427,0.6821428571428572,V1_window
40,40,22,0.6199712766988031,0.0,0.6928571428571428,V1_window
40,40,23,0.611616347135267,0.0,0.7089285714285715,V1_window
40,40,24,0.6115842365999223,0.0,0.6339285714285714,V1_window
40,40,25,0.6192784580876158,0.0,0.6625,V1_window
40,40,26,0.582018489823136,0.07142857142857142,0.6410714285714286,V1_window
40,40,27,0.6041758076899464,0.14285714285714285,0.6892857142857143,V1_window
40,40,28,0.589507124596275,0.07142857142857142,0.6982142857142858,V1_window
40,40,29,0.642446305649169,0.0,0.6946428571428571,V1_window
40,40,30,0.5933918478387727,0.14285714285714285,0.6982142857142858,V1_window
40,40,31,0.6038942360442356,0.0,0.6642857142857143,V1_window
40,40,32,0.5939905001917696,0.0,0.6517857142857143,V1_window
40,40,33,0.6094438571897662,0.0,0.6357142857142856,V1_window
40,40,34,0.5940637403006166,0.07142857142857142,0.6375,V1_window
40,40,35,0.5710148814281838,0.21428571428571427,0.6357142857142858,V1_window
40,40,36,0.5971676706109492,0.07142857142857142,0.6482142857142856,V1_window
40,40,37,0.5913897863598806,0.07142857142857142,0.6857142857142858,V1_window
40,40,38,0.6220965124123381,0.0,0.6482142857142856,V1_window
40,40,39,0.5862698938429985,0.0,0.6232142857142857,V1_window
40,40,40,0.591722751178194,0.0,0.5928571428571429,V1_window
40,40,41,0.609752918646136,0.0,0.6482142857142856,V1_window
