null_kind,dataset_index,n_replicates,modal_share,n_distinct_cfg,tie_share,val_fp_mean,test_fp_mean,test_fp_std
n1,30,20,0.6,5,0.85,0.04523809523809524,0.010714285714285714,0.02616768203803737
n1,31,20,0.75,4,0.95,0.0047619047619047615,0.0,0.0
n1,32,20,0.7,4,0.8,0.011904761904761904,0.03571428571428571,0.05908358513346507
n1,33,20,0.6,3,0.95,0.0,0.02857142857142857,0.03590176356785962
n1,34,20,0.65,4,0.95,0.009523809523809523,0.03214285714285714,0.043200379916378526
n1,35,20,0.7,5,0.75,0.007142857142857143,0.0035714285714285713,0.015971914124998498
n1,36,20,0.65,5,0.8,0.009523809523809523,0.03214285714285714,0.03645841325243146
n1,37,20,0.75,4,0.85,0.023809523809523808,0.021428571428571425,0.03358302471297337
n1,38,20,0.9,3,0.95,0.014285714285714285,0.06428571428571428,0.060874401873342164
n1,39,20,0.65,3,1.0,0.009523809523809523,0.024999999999999994,0.03495432035211378
n2,0,20,0.75,4,0.85,0.014285714285714285,0.0,0.0
n2,1,20,0.75,4,0.85,0.014285714285714285,0.0,0.0
n2,2,20,0.7,3,1.0,0.0,0.0,0.0
n2,3,20,0.85,4,1.0,0.009523809523809523,0.0,0.0
n2,4,20,0.65,4,0.9,0.011904761904761904,0.0,0.0
n2,5,20,0.9,3,0.95,0.0023809523809523807,0.0,0.0
n2,6,20,0.8,4,0.85,0.0023809523809523807,0.0,0.0
n2,7,20,0.85,4,0.95,0.0047619047619047615,0.0,0.0
n2,8,20,0.9,3,1.0,0.02142857142857143,0.0,0.0
n2,9,20,0.75,4,1.0,0.0023809523809523807,0.0,0.0
n2,10,20,0.9,2,0.9,0.02142857142857143,0.0,0.0
n2,11,20,0.8,4,0.9,0.007142857142857143,0.0,0.0
n2,12,20,0.8,4,0.95,0.019047619047619046,0.0,0.0
n2,13,20,0.65,4,0.8,0.009523809523809523,0.0,0.0
n2,14,20,0.8,4,0.95,0.0,0.0,0.0
n2,15,20,0.55,5,0.85,0.014285714285714285,0.0,0.0
n2,16,20,0.75,3,0.85,0.0047619047619047615,0.0,0.0
n2,17,20,0.75,5,0.85,0.014285714285714285,0.0,0.0
n2,18,20,1.0,1,0.95,0.0,0.0,0.0
n2,19,20,0.9,3,1.0,0.023809523809523808,0.0,0.0
n2,20,20,0.9,3,0.95,0.011904761904761904,0.0,0.0
n2,21,20,0.8,3,0.95,0.007142857142857143,0.0,0.0
n2,22,20,0.9,3,0.95,0.0047619047619047615,0.0,0.0
n2,23,20,0.9,3,0.95,0.014285714285714285,0.0,0.0
n2,24,20,0.65,3,0.95,0.0,0.0,0.0
n2,25,20,0.85,3,1.0,0.0047619047619047615,0.0,0.0
n2,26,20,0.9,3,1.0,0.011904761904761904,0.0,0.0
n2,27,20,1.0,1,1.0,0.019047619047619046,0.0,0.0
n2,28,20,0.9,2,0.9,0.011904761904761904,0.0,0.0
n2,29,20,0.85,4,0.95,0.011904761904761904,0.0,0.0
n2,30,20,0.55,5,0.85,0.0023809523809523807,0.0,0.0
n2,31,20,0.8,4,0.95,0.011904761904761904,0.0,0.0
n2,32,20,0.65,3,1.0,0.007142857142857143,0.0,0.0
n2,33,20,0.75,3,0.9,0.0,0.0,0.0
n2,34,20,0.95,2,1.0,0.014285714285714285,0.0,0.0
n2,35,20,0.8,4,1.0,0.009523809523809523,0.0,0.0
n2,36,20,0.75,5,0.85,0.02857142857142857,0.0,0.0
n2,37,20,0.75,3,0.95,0.0023809523809523807,0.0,0.0
n2,38,20,0.6,5,0.75,0.016666666666666666,0.0,0.0
n2,39,20,0.65,5,0.85,0.014285714285714285,0.0,0.0
