regime,fold,arm,n_train,k_bearings,repeat,test_fp
R1_within_bearing,all,S1_resample,40,,59,0.0
R1_within_bearing,all,S1_resample,40,,60,0.3333333333333333
R1_within_bearing,all,S1_resample,40,,61,0.0
R1_within_bearing,all,S1_resample,40,,62,0.0
R1_within_bearing,all,S1_resample,40,,63,0.0
R1_within_bearing,all,S1_resample,40,,64,0.0
R1_within_bearing,all,S1_resample,40,,65,0.3333333333333333
R1_within_bearing,all,S1_resample,40,,66,0.0
R1_within_bearing,all,S1_resample,40,,67,0.0
R1_within_bearing,all,S1_resample,40,,68,0.041666666666666664
R1_within_bearing,all,S1_resample,40,,69,0.3333333333333333
R1_within_bearing,all,S1_resample,40,,70,0.0
R1_within_bearing,all,S1_resample,40,,71,0.0
R1_within_bearing,all,S1_resample,40,,72,0.0
R1_within_bearing,all,S1_resample,40,,73,0.0
R1_within_bearing,all,S1_resample,40,,74,0.0
R1_within_bearing,all,S1_resample,40,,75,0.0
R1_within_bearing,all,S1_resample,40,,76,0.0
R1_within_bearing,all,S1_resample,40,,77,0.0
R1_within_bearing,all,S1_resample,40,,78,0.0
R1_within_bearing,all,S1_resample,40,,79,0.0
R1_within_bearing,all,S1_resample,40,,80,0.0
R1_within_bearing,all,S1_resample,40,,81,0.0
R1_within_bearing,all,S1_resample,40,,82,0.3333333333333333
R1_within_bearing,all,S1_resample,40,,83,0.0
R1_within_bearing,all,S1_resample,40,,84,0.0
R1_within_bearing,all,S1_resample,40,,85,0.0
R1_within_bearing,all,S1_resample,40,,86,0.0
R1_within_bearing,all,S1_resample,40,,87,0.3333333333333333
R1_within_bearing,all,S1_resample,40,,88,0.0
R1_within_bearing,all,S1_resample,40,,89,0.0
R1_within_bearing,all,S1_resample,40,,90,0.0
R1_within_bearing,all,S1_resample,40,,91,0.0
R1_within_bearing,all,S1_resample,40,,92,0.0
R1_within_bearing,all,S1_resample,40,,93,0.0
R1_within_bearing,all,S1_resample,40,,94,0.0
R1_within_bearing,all,S1_resample,40,,95,0.0
R1_within_bearing,all,S1_resample,40,,96,0.0
R1_within_bearing,all,S1_resample,40,,97,0.0
