arm,held_out,n_train,k_bearings,test_fp,dataset,rule
S3_units,Bearing1_2,16,16,0.06976744186046512,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.06976744186046512,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.046511627906976744,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.06976744186046512,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.06976744186046512,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.046511627906976744,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.06976744186046512,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.023255813953488372,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.023255813953488372,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.023255813953488372,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.06976744186046512,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.046511627906976744,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.023255813953488372,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.09302325581395349,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.023255813953488372,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.26666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.1,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.13333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.36666666666666664,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.18333333333333332,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.65,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.13333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.2833333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.21666666666666667,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.15,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.5833333333333334,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.5,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.4,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.18333333333333332,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.3,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.26666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.5666666666666667,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.31666666666666665,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.23333333333333334,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.23333333333333334,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.75,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.18333333333333332,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.2833333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.1,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,20,1,0.36666666666666664,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
