dataset,condition,held_out,k_bearings,n_train,test_fp
PRONOSTIA,C1,Bearing1_2,2,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,2,20,0.05
PRONOSTIA,C1,Bearing1_2,2,20,0.16666666666666666
PRONOSTIA,C1,Bearing1_2,2,20,0.05
PRONOSTIA,C1,Bearing1_2,2,20,0.3333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.0
PRONOSTIA,C1,Bearing1_2,2,20,0.11666666666666667
PRONOSTIA,C1,Bearing1_2,2,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.0
PRONOSTIA,C1,Bearing1_2,3,18,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,3,18,0.0
PRONOSTIA,C1,Bearing1_2,3,18,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,3,18,0.0
PRONOSTIA,C1,Bearing1_2,3,18,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,3,18,0.13333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,3,18,0.11666666666666667
PRONOSTIA,C1,Bearing1_2,3,18,0.0
PRONOSTIA,C1,Bearing1_2,3,18,0.0
PRONOSTIA,C1,Bearing1_2,3,18,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,3,18,0.3
PRONOSTIA,C1,Bearing1_2,3,18,0.08333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.0
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.0
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.18333333333333332
PRONOSTIA,C1,Bearing1_2,3,18,0.2
