dataset,condition,held_out,detector,k_bearings,n_train,test_fp
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.5666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.08333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.15
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.08333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.6
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.85
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.08333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.21666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8166666666666667
