component,repeat,seed,threshold,test_fp,test_pct_mean
C_both,21,21,0.620490024705983,0.0,0.0
C_both,22,22,0.5888589062460493,0.21428571428571427,0.21428571428571427
C_both,23,23,0.5777770071233698,0.0,0.0
C_both,24,24,0.5998285955792592,0.0,0.0
C_both,25,25,0.592457214013236,0.0,0.0
C_both,26,26,0.5929183360459804,0.07142857142857142,0.07142857142857142
C_both,27,27,0.6038400176465459,0.0,0.0
C_both,28,28,0.5904651060633805,0.07142857142857142,0.07142857142857142
C_both,29,29,0.6026222302835392,0.0,0.0
C_both,30,30,0.5836652807333281,0.0,0.0
C_both,31,31,0.6051591942816482,0.0,0.0
C_both,32,32,0.5876078619152659,0.0,0.0
C_both,33,33,0.5934780685015809,0.0,0.0
C_both,34,34,0.5793503186937154,0.14285714285714285,0.14285714285714285
C_both,35,35,0.5832275734581698,0.07142857142857142,0.07142857142857142
C_both,36,36,0.6002990441462561,0.07142857142857142,0.07142857142857142
C_both,37,37,0.6006741063527958,0.07142857142857142,0.07142857142857142
C_both,38,38,0.5932686976064372,0.07142857142857142,0.07142857142857142
C_both,39,39,0.59227713782243,0.0,0.0
C_both,40,40,0.5985543999931303,0.07142857142857142,0.07142857142857142
C_both,41,41,0.5856374741125633,0.07142857142857142,0.07142857142857142
C_both,42,42,0.6063104407884541,0.0,0.0
C_both,43,43,0.5916652345207357,0.07142857142857142,0.07142857142857142
C_both,44,44,0.5878837964093698,0.0,0.0
C_both,45,45,0.609385285861021,0.0,0.0
C_both,46,46,0.6153933929988177,0.0,0.0
C_both,47,47,0.5956699751582706,0.07142857142857142,0.07142857142857142
C_both,48,48,0.5993666752736843,0.07142857142857142,0.07142857142857142
C_both,49,49,0.5957457813938004,0.07142857142857142,0.07142857142857142
